package_id,package_name,destination,city,country,trip_lane,mood_tags,weather_tags,duration_days,duration_nights,base_price_inr,traveler_fit,activities,highlight,avg_rating,family_friendly,honeymoon_pick,solo_friendly,budget_tier
1,Goa Essentials Escape,Goa,Goa,India,India,Relaxed|Party|Romantic,Warm|Cool,4,3,27000,couple|friends|solo,Beach|Nightlife|Cafes|Water Sports|Sunsets,"Beach days, cafe scenes, sunset spots and easy coastal energy",4.5,No,Yes,Yes,budget
2,Goa Party & Water Sports Rush,Goa,Goa,India,India,Party|Adventurous,Warm|Hot,5,4,35000,friends|solo,Parasailing|Jet Ski|Club Hopping|Shacks|Feni Tasting,"High energy beaches, water sports and Goa's legendary nightlife",4.3,No,No,Yes,moderate
3,Goa Luxury Couple Retreat,Goa,Goa,India,India,Romantic|Relaxed,Warm|Cool,6,5,65000,couple,Private Beach|Spa|Candlelit Dinner|Sunset Cruise,Intimate beachside escapes for two,4.7,No,Yes,No,moderate
4,Goa Wellness & Heritage Tour,Goa,Goa,India,India,Spiritual|Relaxed,Warm|Cool,5,4,30000,solo|couple,Churches|Yoga|Spice Farm|Old Goa|Meditation,Soulful Goa beyond the beaches,4.4,No,No,Yes,moderate
5,Manali Snow Adventure,Manali,Manali,India,India,Adventurous|Relaxed,Cold|Cool,5,4,32000,friends|couple|solo,Rohtang Pass|Skiing|Snow Biking|Solang Valley|Camping,"Snowscapes, ski slopes and mountain highs",4.6,No,No,Yes,moderate
6,Manali Honeymoon in Snow,Manali,Manali,India,India,Romantic|Relaxed,Cold|Cool,6,5,55000,couple,Hadimba Temple|Spa|Snow Walk|Log Fire|Local Cuisine,Cozy snow-capped romance for couples,4.7,No,Yes,No,moderate
7,Manali Extreme Trekking Expedition,Manali,Manali,India,India,Adventurous,Cold,7,6,40000,solo|friends,Beas Kund Trek|Hampta Pass|River Crossing|Rappelling,High altitude treks for the bold,4.5,No,No,Yes,moderate
8,Shimla Heritage & Hills,Shimla,Shimla,India,India,Relaxed|Romantic,Cold|Cool,4,3,25000,couple|family|solo,Mall Road|Jakhu Temple|Toy Train|Apple Orchards,Colonial charm meets Himalayan views,4.4,Yes,Yes,Yes,budget
9,Shimla Couple Winter Escape,Shimla,Shimla,India,India,Romantic,Cold|Cool,5,4,42000,couple,Heritage Walks|Snowfall Spots|Cozy Cafes|Horse Riding,A dreamy winter escape for two,4.5,No,Yes,No,moderate
10,Jaipur Royal Heritage Tour,Jaipur,Jaipur,India,India,Cultural|Adventurous|Spiritual,Warm|Cool,4,3,22000,couple|family|solo,Amber Fort|City Palace|Hawa Mahal|Elephant Ride|Bazaars,Walk through Rajasthan's regal history,4.6,Yes,No,Yes,budget
11,Jaipur Luxury Palace Stay,Jaipur,Jaipur,India,India,Romantic,Cool|Warm,5,4,75000,couple,Palace Hotel|Rooftop Dinner|Vintage Car Ride|Spa,Royal treatment in the Pink City,4.8,No,Yes,No,moderate
12,Jaipur Food & Festival Circuit,Jaipur,Jaipur,India,India,Party|Relaxed,Warm,3,2,18000,friends|solo,Street Food|Desert Festival|Puppet Show|Craft Beer,"Colors, flavors and festivities of Rajasthan",4.3,No,No,Yes,budget
13,Udaipur Lake Romance,Udaipur,Udaipur,India,India,Romantic|Relaxed,Cool|Warm,5,4,58000,couple,Lake Pichola|Boat Ride|Sunset Terrace|Heritage Hotel,City of lakes and timeless romance,4.8,No,Yes,No,moderate
14,Udaipur Heritage Spiritual Walk,Udaipur,Udaipur,India,India,Spiritual|Cultural,Cool|Warm,4,3,28000,solo|couple|family,City Palace|Jagdish Temple|Folk Dance|Mewar Cuisine,Spirituality and splendour in Mewar,4.5,Yes,No,Yes,budget
15,Kerala Backwaters Bliss,Kerala,Kerala,India,India,Relaxed|Spiritual|Romantic,Warm|Rainy,6,5,45000,couple|family|solo,Houseboat|Alleppey|Ayurveda|Tea Estates|Spice Farms,Float through emerald backwaters in serenity,4.7,Yes,Yes,Yes,moderate
16,Kerala Luxury Ayurveda Retreat,Kerala,Kerala,India,India,Relaxed|Romantic,Warm|Rainy,7,6,95000,couple|solo,Luxury Resort|Ayurveda Spa|Yoga|Meditation|Backwaters,Deep healing and rejuvenation in God's own country,4.8,No,Yes,Yes,moderate
17,Kerala Wildlife & Hills Circuit,Kerala,Kerala,India,India,Adventurous|Relaxed,Warm|Rainy,6,5,40000,family|friends|solo,Munnar|Periyar Safari|Thekkady|Waterfalls|Trekking,"Lush hills, wildlife and misty valleys",4.6,Yes,No,Yes,moderate
18,Taj Mahal & Mughal Heritage,Agra,Agra,India,India,Romantic|Spiritual|Cultural,Warm|Cool,3,2,18000,couple|family|solo,Taj Mahal|Agra Fort|Fatehpur Sikri|Mughal Cuisine,An eternal love story set in marble,4.6,Yes,Yes,Yes,budget
