package_id,title,destination,country,market,region,trip_type,package_tier,price_inr,duration_days,rating,review_count,best_months,weather_profile,mood_profile,ideal_for,tags,family_friendly,solo_friendly,honeymoon_popular,group_friendly,admin_id,travel_style_bias
1001,Paris Essentials Escape,Paris,France,INTERNATIONAL,Europe,Culture & History,BUDGET,89000,4,4.25,12,"Apr,May,Jun,Sep,Oct",mild,"romantic,curious,polished","couples,culture lovers","eiffel,museums,cafes,luxury",Yes,Yes,Yes,Moderate,admin_west,budget
1002,Paris Signature Journey,Paris,France,INTERNATIONAL,Europe,Culture & History,PREMIUM,98000,5,4.48,19,"Apr,May,Jun,Sep,Oct",mild,"romantic,curious,polished","couples,culture lovers","eiffel,museums,cafes,luxury",Yes,Yes,Yes,Moderate,admin_curated,balanced
1003,Paris Premium Discovery,Paris,France,INTERNATIONAL,Europe,Culture & History,PREMIUM_PLUS,107000,6,4.66,26,"Apr,May,Jun,Sep,Oct",mild,"romantic,curious,polished","couples,culture lovers","eiffel,museums,cafes,luxury",Yes,Yes,Yes,Moderate,admin_premium,luxury
1004,Tokyo Essentials Escape,Tokyo,Japan,INTERNATIONAL,East Asia,City Break,BUDGET,96000,4,4.33,16,"Mar,Apr,May,Oct,Nov",mild,"curious,energetic,immersive","foodies,city explorers","food,shopping,city,technology",Yes,Yes,Moderate,Yes,admin_curated,budget
1005,Tokyo Signature Journey,Tokyo,Japan,INTERNATIONAL,East Asia,City Break,PREMIUM,105000,5,4.56,23,"Mar,Apr,May,Oct,Nov",mild,"curious,energetic,immersive","foodies,city explorers","food,shopping,city,technology",Yes,Yes,Moderate,Yes,admin_premium,balanced
1006,Tokyo Premium Discovery,Tokyo,Japan,INTERNATIONAL,East Asia,City Break,PREMIUM_PLUS,114000,6,4.5,30,"Mar,Apr,May,Oct,Nov",mild,"curious,energetic,immersive","foodies,city explorers","food,shopping,city,technology",Yes,Yes,Moderate,Yes,admin_b2b,luxury
1007,Dubai Essentials Escape,Dubai,UAE,INTERNATIONAL,Middle East,Luxury & Romance,BUDGET,76000,4,4.41,20,"Nov,Dec,Jan,Feb,Mar",warm,"luxury,party,glossy","families,luxury travelers","shopping,desert,skyline,luxury",Yes,Moderate,Yes,Yes,admin_premium,budget
1008,Dubai Signature Journey,Dubai,UAE,INTERNATIONAL,Middle East,Luxury & Romance,PREMIUM,85000,5,4.4,27,"Nov,Dec,Jan,Feb,Mar",warm,"luxury,party,glossy","families,luxury travelers","shopping,desert,skyline,luxury",Yes,Moderate,Yes,Yes,admin_b2b,balanced
1009,Dubai Premium Discovery,Dubai,UAE,INTERNATIONAL,Middle East,Luxury & Romance,PREMIUM_PLUS,94000,6,4.58,34,"Nov,Dec,Jan,Feb,Mar",warm,"luxury,party,glossy","families,luxury travelers","shopping,desert,skyline,luxury",Yes,Moderate,Yes,Yes,admin_west,luxury
1010,Bali Essentials Escape,Bali,Indonesia,INTERNATIONAL,Southeast Asia,Beach & Sun,BUDGET,64000,4,4.25,24,"Apr,May,Jun,Jul,Aug,Sep,Oct",warm,"romantic,relaxed,soulful","honeymooners,wellness travelers","beach,temples,wellness,nature",Yes,Yes,Yes,Yes,admin_b2b,budget
1011,Bali Signature Journey,Bali,Indonesia,INTERNATIONAL,Southeast Asia,Beach & Sun,PREMIUM,73000,5,4.48,31,"Apr,May,Jun,Jul,Aug,Sep,Oct",warm,"romantic,relaxed,soulful","honeymooners,wellness travelers","beach,temples,wellness,nature",Yes,Yes,Yes,Yes,admin_west,balanced
1012,Bali Premium Discovery,Bali,Indonesia,INTERNATIONAL,Southeast Asia,Beach & Sun,PREMIUM_PLUS,82000,6,4.66,38,"Apr,May,Jun,Jul,Aug,Sep,Oct",warm,"romantic,relaxed,soulful","honeymooners,wellness travelers","beach,temples,wellness,nature",Yes,Yes,Yes,Yes,admin_curated,luxury
1013,Maldives Essentials Escape,Maldives,Maldives,INTERNATIONAL,Indian Ocean,Luxury & Romance,BUDGET,118000,4,4.33,28,"Nov,Dec,Jan,Feb,Mar,Apr",warm,"romantic,luxury,calm","honeymooners,luxury travelers","island,lagoon,private,overwater",Moderate,Moderate,Yes,Moderate,admin_west,budget
1014,Maldives Signature Journey,Maldives,Maldives,INTERNATIONAL,Indian Ocean,Luxury & Romance,PREMIUM,127000,5,4.56,35,"Nov,Dec,Jan,Feb,Mar,Apr",warm,"romantic,luxury,calm","honeymooners,luxury travelers","island,lagoon,private,overwater",Moderate,Moderate,Yes,Moderate,admin_curated,balanced
1015,Maldives Premium Discovery,Maldives,Maldives,INTERNATIONAL,Indian Ocean,Luxury & Romance,PREMIUM_PLUS,136000,6,4.5,42,"Nov,Dec,Jan,Feb,Mar,Apr",warm,"romantic,luxury,calm","honeymooners,luxury travelers","island,lagoon,private,overwater",Moderate,Moderate,Yes,Moderate,admin_premium,luxury
1016,Singapore Essentials Escape,Singapore,Singapore,INTERNATIONAL,Southeast Asia,City Break,BUDGET,72000,4,4.41,32,"Feb,Mar,Apr",warm,"efficient,curious,modern","families,urban travelers","city,food,theme parks,shopping",Yes,Yes,Moderate,Yes,admin_curated,budget
