interaction_id,user_id,package_id,budget_inr,num_people,travel_style,mood,weather_preference,trip_lane,destination_query,interaction_type,interaction_strength,booked,rating_given,trip_month,days_preferred
1,user_1803,1018,78042,2,luxury,party,warm,international,Singapore,book,0.94,Yes,5.0,Oct,6
2,user_5053,1003,70019,2,budget,romantic,warm,international,,group_vote,0.56,Yes,4.7,Apr,6
3,user_5479,1044,37543,2,balanced,spiritual,rainy,india,Shimla,view,0.22,No,4.92,Jan,4
4,user_2169,1005,104171,5,balanced,adventurous,rainy,international,Tokyo,view,0.22,No,4.87,Nov,4
5,user_5243,1036,40714,5,balanced,party,warm,india,Manali,save,0.48,Yes,4.83,Sep,5
6,user_7884,1002,95937,1,balanced,relaxed,cool,international,Paris,save,0.48,No,4.72,Jan,3
7,user_4682,1002,74673,5,budget,relaxed,warm,international,Paris,save,0.48,Yes,4.3,May,5
8,user_2370,1015,76680,4,balanced,relaxed,warm,international,,agent_chat,0.62,Yes,4.03,May,5
9,user_1713,1022,18985,6,balanced,relaxed,cool,india,Manali,agent_chat,0.62,No,3.66,Feb,4
10,user_6658,1027,21301,2,budget,romantic,cool,india,Jaipur,view,0.22,No,4.06,Feb,4
11,user_9325,1040,23094,6,balanced,spiritual,warm,india,Udaipur,view,0.22,Yes,4.65,Sep,7
12,user_3560,1015,31515,5,luxury,relaxed,cold,india,Varanasi,book,0.94,Yes,3.46,Jan,5
13,user_2271,1005,81553,2,luxury,spiritual,cool,international,Tokyo,view,0.22,No,3.64,Jul,4
14,user_9423,1039,28301,5,balanced,curious,rainy,india,Varanasi,agent_chat,0.62,Yes,4.5,Jun,6
15,user_9528,1003,115918,2,luxury,relaxed,warm,international,Varanasi,save,0.48,Yes,4.39,Mar,6
16,user_2568,1047,65680,2,balanced,relaxed,cold,international,,view,0.22,Yes,4.2,Mar,5
17,user_7437,1010,80075,2,budget,romantic,temperate,international,Bali,view,0.22,Yes,5.0,Jul,7
18,user_1058,1043,111528,3,luxury,spiritual,cool,international,Varanasi,save,0.48,No,3.74,Dec,3
19,user_2069,1042,22128,2,balanced,curious,cool,india,Tokyo,save,0.48,Yes,4.19,May,4
20,user_3868,1032,29856,2,luxury,relaxed,warm,india,Kerala,save,0.48,No,4.59,Apr,4
21,user_2571,1046,50838,2,balanced,curious,rainy,india,Agra,view,0.22,Yes,5.0,Jun,4
22,user_9041,1047,60570,5,budget,curious,warm,international,,group_vote,0.56,Yes,4.67,Feb,7
23,user_8014,1016,46352,3,luxury,romantic,cool,international,Singapore,view,0.22,Yes,4.33,Mar,4
24,user_4904,1029,35951,4,budget,curious,rainy,india,,save,0.48,No,3.53,May,4
25,user_6872,1036,48385,4,budget,party,rainy,india,Manali,book,0.94,Yes,5.0,Dec,3
26,user_2236,1005,70649,5,balanced,curious,warm,international,Tokyo,save,0.48,Yes,5.0,Jan,5
27,user_9280,1041,35315,3,balanced,curious,warm,india,Udaipur,view,0.22,No,4.97,Oct,3
28,user_7968,1024,30874,2,balanced,adventurous,warm,india,,book,0.94,No,3.41,Feb,5
29,user_2259,1021,40922,6,balanced,curious,warm,international,Thailand,save,0.48,No,4.19,May,5
30,user_7174,1004,86195,2,balanced,adventurous,rainy,international,Paris,book,0.94,No,3.59,Jul,7
31,user_1957,1029,28456,1,luxury,relaxed,warm,india,Goa,view,0.22,Yes,4.64,Nov,4
32,user_9819,1028,108962,2,luxury,relaxed,temperate,international,Paris,view,0.22,No,4.31,Oct,6
33,user_5933,1036,47486,5,budget,spiritual,warm,india,Manali,view,0.22,No,3.99,Aug,5
34,user_1490,1038,34957,2,budget,relaxed,rainy,india,Jaipur,save,0.48,No,3.65,Jul,5
35,user_3711,1034,33441,6,budget,romantic,cool,india,Manali,agent_chat,0.62,Yes,5.0,Feb,4
36,user_2380,1043,41953,2,balanced,adventurous,warm,india,Shimla,agent_chat,0.62,Yes,4.93,May,5
37,user_6091,1015,32823,5,balanced,romantic,temperate,india,,save,0.48,No,3.84,Dec,6
38,user_5673,1033,36085,3,budget,relaxed,rainy,india,Singapore,view,0.22,No,4.04,Nov,4
39,user_4736,1022,94567,2,balanced,relaxed,cool,international,Switzerland,view,0.22,No,4.52,May,7
40,user_7188,1041,65470,2,balanced,relaxed,warm,international,Jaipur,view,0.22,Yes,4.48,Dec,5
41,user_5033,1009,99024,2,balanced,relaxed,warm,international,Dubai,save,0.48,Yes,4.66,Dec,4
42,user_8564,1042,38361,4,balanced,party,temperate,india,Udaipur,group_vote,0.56,No,4.25,Nov,4
43,user_8599,1033,31363,6,balanced,curious,cool,india,,view,0.22,No,3.91,Nov,4
44,user_3332,1033,23902,6,balanced,adventurous,temperate,india,Kerala,save,0.48,No,4.39,Jan,4
45,user_9835,1042,24462,4,luxury,spiritual,rainy,india,Tokyo,view,0.22,No,3.2,Jul,5
46,user_9860,1032,26802,1,balanced,romantic,rainy,india,Kerala,group_vote,0.56,No,4.99,Apr,5
47,user_3145,1039,67254,2,budget,relaxed,temperate,international,Varanasi,view,0.22,No,3.98,Jan,6
48,user_4993,1035,62107,3,balanced,relaxed,cool,international,,view,0.22,Yes,4.9,Jan,5
49,user_4131,1036,50474,2,luxury,relaxed,warm,india,Manali,view,0.22,Yes,4.72,Jun,6
50,user_1542,1037,34874,6,balanced,relaxed,cool,india,Varanasi,save,0.48,No,4.33,May,4
51,user_6710,1037,15000,3,budget,curious,warm,india,Varanasi,view,0.22,Yes,5.0,Nov,5
52,user_2596,1023,98751,5,budget,party,temperate,international,,book,0.94,No,3.4,Feb,5
