user_id,traveler_type,n_travelers,budget_inr,mood_1,mood_2,mood_3,weather_pref,travel_month,trip_lane,package_id,package_name,destination,country,package_lane,package_price_inr,total_est_cost,within_budget,mood_match_count,weather_match,lane_match,duration_days,pkg_rating,booked,relevance_score
1,solo,1,20000,Cultural,,,Warm,Nov,,15,Kerala Backwaters Bliss,Kerala,India,India,45000,45000,0,0,1,1,6,4.7,1,87.83
2,solo,1,80000,Relaxed,Spiritual,Adventurous,Rainy,Jul,India,4,Goa Wellness & Heritage Tour,Goa,India,India,30000,30000,1,2,0,1,5,4.4,1,100
3,solo,1,50000,Romantic,Adventurous,,Cool,Jun,India,36,"Pune Forts, Food & Nightlife",Pune,India,India,18000,18000,1,0,1,1,3,4.2,1,100
4,friends,3,150000,Relaxed,Party,Cultural,Rainy,May,,78,Penang Street Food & Heritage,Malaysia,Malaysia,International,38000,91200,1,2,0,1,4,4.6,1,100
5,couple,2,200000,Romantic,,,Warm,Apr,India,47,Bangkok Temple & Culture Tour,Bangkok,Thailand,International,38000,76000,1,0,1,0,4,4.6,1,81.15
6,friends,5,100000,Cultural,Relaxed,Adventurous,Rainy,Dec,India,21,Andaman Honeymoon Escape,Andaman,India,India,80000,320000,0,0,0,1,7,4.8,0,59.88
7,family,4,250000,Cultural,,,Cold,Jan,India,21,Andaman Honeymoon Escape,Andaman,India,India,80000,256000,0,0,0,1,7,4.8,1,93.25
8,couple,2,200000,Party,Cultural,,Cool,May,India,9,Shimla Couple Winter Escape,Shimla,India,India,42000,84000,1,0,1,1,5,4.5,0,97.78
9,friends,6,150000,Adventurous,Cultural,,Rainy,Aug,India,72,Sri Lanka Scenic Train & Hike,Sri Lanka,Sri Lanka,International,38000,182400,0,1,0,0,5,4.7,0,74.88
10,family,4,180000,Party,Spiritual,Romantic,Rainy,Jan,,21,Andaman Honeymoon Escape,Andaman,India,India,80000,256000,0,1,0,1,7,4.8,1,73.04
11,friends,5,100000,Adventurous,Party,,Warm,Dec,,69,Amsterdam Canals & Culture,Europe,Europe,International,150000,600000,0,1,0,1,5,4.6,0,83.25
12,friends,4,100000,Spiritual,,,Rainy,Jan,,14,Udaipur Heritage Spiritual Walk,Udaipur,India,India,28000,89600,1,1,0,1,4,4.5,1,100
13,solo,1,20000,Adventurous,,,Rainy,Feb,India,3,Goa Luxury Couple Retreat,Goa,India,India,65000,65000,0,0,0,1,6,4.7,0,56.48
14,couple,2,100000,Adventurous,Romantic,Party,Cool,Sep,,69,Amsterdam Canals & Culture,Europe,Europe,International,150000,300000,0,1,1,1,5,4.6,1,84.76
15,family,4,250000,Relaxed,Adventurous,,Cool,Feb,International,40,Jodhpur Blue City & Desert,Jodhpur,India,India,20000,64000,1,1,0,0,3,4.5,1,78.97
16,solo,1,10000,Romantic,,,Warm,Sep,India,1,Goa Essentials Escape,Goa,India,India,27000,27000,0,1,1,1,4,4.5,1,100
